,Participant,Total_Weight_Changes,Mean,Std
0,65296d538ca4cc9d14c129aa,21,0.05,0.22
1,5e209e63f814783b253a93ed,17,0.04,0.2
2,60f06a479c4f3ec0a536d40a,15,0.04,0.19
3,5f3e95436fa4350dadcfbfeb,15,0.04,0.19
4,61128d38f512d6800205d192,14,0.03,0.18
5,5b222aff59f9620001c109cb,14,0.03,0.18
6,5c8bafb53b6f3d00013d7c30,14,0.03,0.18
7,5e692a511f156a1e4aa18f70,14,0.03,0.18
8,5f1c55c8ea92af4d99d03137,13,0.03,0.17
9,6507355f07adea6bb9abb279,12,0.03,0.17
10,61267b828ead584bcf092e35,11,0.03,0.16
11,6509ee73a973beda35b3a29e,11,0.03,0.16
12,60d336e24fbd4089351d3785,10,0.02,0.15
13,55c333b0fdf99b1dbd2131bd,10,0.02,0.15
14,64f9f86e6bf2358fd13945f1,10,0.02,0.15
15,5ad63c167f70c10001904bc5,10,0.02,0.15
16,61684bae4ac887b438246ff6,10,0.02,0.15
17,611e2078cadc8161a119af67,9,0.02,0.15
18,611513d0ab9d61f4053c4c8e,9,0.02,0.15
19,654ce65838678c566569c723,9,0.02,0.15
20,6505e1d7baa4d89f7a2f3b53,8,0.02,0.14
21,5f600669b846780f0fe45709,8,0.02,0.14
22,61183bece4c3e63512e3eb5d,8,0.02,0.14
23,602bfa74abe14141ae89b2fe,8,0.02,0.14
24,6107aa76ee9845023fb0cb80,8,0.02,0.14
25,615a10906193d263fd02c670,7,0.02,0.13
26,610658bb4a9082015088fa3c,7,0.02,0.13
27,654d4401d386722f1c6bddf1,7,0.02,0.13
28,62fb804a737937835d963c8b,6,0.01,0.12
29,60513ec07ee46769ed029be4,6,0.01,0.12
30,60c442aafa8afba1988e2ba0,6,0.01,0.12
31,5fad5482f2e5c201d4a5cd76,6,0.01,0.12
32,57fe6296035f6e0001d71d05,6,0.01,0.12
33,611d0c64d70a6d9fcd11440b,6,0.01,0.12
34,63ced242b56ce9d796f4398b,6,0.01,0.12
35,5fafea489c356e2e060a60f7,6,0.01,0.12
36,5d4dbe7df20feb00010b596d,5,0.01,0.11
37,60fac4840835c496850e2267,5,0.01,0.11
38,608ab7f46594ee2bcc835f69,5,0.01,0.11
39,611c3819eac3c026d338c054,5,0.01,0.11
40,65215a6b71c92df9d8c659ea,4,0.01,0.1
41,60a2541c0e5a829853aad745,4,0.01,0.1
42,5be1c7de91deed00015a97b9,4,0.01,0.1
43,5b3f242f9c2ec600014ef9fc,4,0.01,0.1
44,6116920ff5bcc6aa24f00927,3,0.01,0.08
45,60a3a03bc01ba594c9cca88d,3,0.01,0.08
46,5fdb9ccbe6b281016f79a732,2,0.0,0.07
47,60febbf6684ed23d1eec2db6,2,0.0,0.07
48,5f913cbf314c3d000982e130,2,0.0,0.07
49,5d9b4e21b56c51035c35cb3d,2,0.0,0.07
50,5f047d44d191116edb3cb798,2,0.0,0.07
51,5eceef5fa487421604c337ba,2,0.0,0.07
52,6511fd9e06231927b6398700,1,0.0,0.05
53,65046ab60ee62c5c2a6d8463,1,0.0,0.05
54,60b7bb77c573c1a28d072811,1,0.0,0.05
55,6234857563ccaf842e470196,1,0.0,0.05
56,6162d95040a3fa68f76451be,1,0.0,0.05
57,611d06c0bcc92ba3d7669ef6,1,0.0,0.05
58,605b98c83da1ded576bcf096,1,0.0,0.05
59,60ddc4cc0a3f074060092937,1,0.0,0.05
60,614d6d63ffaa9be82c464151,1,0.0,0.05
61,61641a12f14a6f1b08edd5bf,0,0.0,0.0
62,5f60713e595007000a8e1da7,0,0.0,0.0
63,6136cb52db0f1cb2262bbf5d,0,0.0,0.0
64,65257c1a7780ceee7f6ef9bd,0,0.0,0.0
65,5a820545b093f80001a7bcbc,0,0.0,0.0
